Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /saved/recipes,17,0,210,2837.009286704843,125.51879099919461,39736.11208400689,6378.058823529412,0.09622264740246743,0.0,210,260,450,480,3400,40000,40000,40000,40000,40000,40000
GET,GET /session/{id},31,2,140,2380.085619580519,116.46629200549796,30517.199750000145,124.83870967741936,0.17546482761626414,0.011320311459113816,140,210,260,310,2800,30000,31000,31000,31000,31000,31000
POST,POST /saved/recipes,8,0,180,376.7950156288862,122.64304200652987,1382.0607920060866,466.0,0.045281245836455264,0.0,180,190,640,640,1400,1400,1400,1400,1400,1400,1400
POST,POST /session,20,0,300,319.01028949650936,267.2600419900846,459.7014580212999,96.0,0.11320311459113816,0.0,310,320,340,360,390,460,460,460,460,460,460
POST,POST /session/{id}/chat,74,11,5400,12206.355619917991,3184.13145802333,90143.52620797581,0.0,0.4188515239872112,0.06226171302512599,5400,6700,9800,27000,30000,31000,58000,90000,90000,90000,90000
SSE,sse_prompt_cache_ratio_x1000,63,0,810,816.5352378465672,528.8835915772745,916.8044077134986,0.0,0.3565898109620852,0.0,810,840,860,870,900,910,920,920,920,920,920
SSE,sse_time_to_done,63,0,0.09250000584870577,5.036963634969045,0.09250000584870577,46.224916994106025,0.0,0.3565898109620852,0.0,0,1,12,13,15,17,46,46,46,46,46
SSE,sse_time_to_first_event,63,0,0.008625007467344403,0.03973539689526198,0.008625007467344403,0.18474998068995774,0.0,0.3565898109620852,0.0,0,0,0,0,0,0,0,0,0,0,0
,Aggregated,339,13,270,3204.832583755789,0.008625007467344403,90143.52620797581,347.92035398230087,1.9187927923197918,0.0735820244842398,270,810,920,3700,5900,30000,31000,31000,90000,90000,90000
