Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /session,1,0,459.9245840217918,459.9245840217918,459.9245840217918,459.9245840217918,96.0,0.005644501075384561,0.0,460,460,460,460,460,460,460,460,460,460,460
POST,POST /session/{id}/chat,18,0,4800,4647.777634161886,2202.949291007826,5858.561041997746,0.0,0.10160101935692209,0.0,4900,5000,5200,5500,5600,5900,5900,5900,5900,5900,5900
SSE,sse_prompt_cache_ratio_x1000,18,0,860,787.1884366969239,0,939.3059165265249,0.0,0.10160101935692209,0.0,860,870,880,890,920,940,940,940,940,940,940
SSE,sse_time_to_done,18,0,1,5.232421503428163,0.1708750205580145,46.68200001469813,0.0,0.10160101935692209,0.0,1,1,3,12,13,47,47,47,47,47,47
SSE,sse_time_to_first_event,18,0,0.023083004634827375,0.10539133250454648,0.023083004634827375,0.6177500181365758,0.0,0.10160101935692209,0.0,0,0,0,0,0,1,1,1,1,1,1
,Aggregated,73,0,47,1347.7451300072214,0,5858.561041997746,1.3150684931506849,0.4120485785030729,0.0,47,870,940,4000,5000,5500,5600,5900,5900,5900,5900
