Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /saved/recipes,21,0,140,222.59473414132594,130.09816699195653,704.8691659874748,661.7142857142857,0.11897477323828562,0.0,140,140,150,190,550,610,700,700,700,700,700
GET,GET /session/{id},20,0,130,161.35622705332935,125.37912500556558,275.2973330207169,132.0,0.1133093078459863,0.0,140,140,190,200,260,280,280,280,280,280,280
POST,POST /saved/recipes,8,0,131.8995830079075,165.15963525307598,131.8995830079075,225.32966602011584,466.0,0.04532372313839452,0.0,180,190,190,190,230,230,230,230,230,230,230
POST,POST /session,5,0,350,335.25433338363655,273.8035419897642,378.11324998619966,96.0,0.028327326961496577,0.0,350,360,360,380,380,380,380,380,380,380,380
POST,POST /session/{id}/chat,68,0,4600,4749.739012896231,2672.9265419999138,7568.6886250041425,0.0,0.3852516466763534,0.0,4600,5100,5400,5600,6800,7300,7500,7600,7600,7600,7600
SSE,sse_prompt_cache_ratio_x1000,68,0,870,822.1478366834197,239.81264637002343,930.7597711597069,0.0,0.3852516466763534,0.0,870,890,900,900,910,920,930,930,930,930,930
SSE,sse_time_to_done,68,0,0.10508298873901367,2.211333381316816,0.10508298873901367,18.309624982066453,0.0,0.3852516466763534,0.0,0,0,0,1,12,14,16,18,18,18,18
SSE,sse_time_to_first_event,68,0,0.013749988283962011,0.04194491167949951,0.013749988283962011,0.2701669873204082,0.0,0.3852516466763534,0.0,0,0,0,0,0,0,0,0,0,0,0
,Aggregated,326,0,140,1196.1370901911573,0.013749988283962011,7568.6886250041425,63.6319018404908,1.8469417178895768,0.0,140,850,900,3200,4700,5400,6800,7300,7600,7600,7600
