Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /saved/recipes,25,0,160,204.68162004020996,125.44733300455846,543.808957998408,8089.2,0.08382873825932202,0.0,160,180,190,200,390,500,540,540,540,540,540
GET,GET /session/{id},45,0,150,174.58299815577143,122.43045901414007,656.6789169737604,132.0,0.15089172886677965,0.0,150,160,180,180,200,260,660,660,660,660,660
POST,POST /saved/recipes,8,0,150,165.36127587096416,136.79399999091402,202.08958300645463,466.0,0.02682519624298305,0.0,160,180,200,200,200,200,200,200,200,200,200
POST,POST /session,5,0,360,384.7682000079658,266.9692090130411,570.8444589981809,96.0,0.016765747651864407,0.0,360,370,370,570,570,570,570,570,570,570,570
POST,POST /session/{id}/chat,119,0,4500,4574.232982108399,1433.2050409866497,8572.532207996119,0.0,0.39902479411437286,0.0,4500,5000,5400,5500,6100,6900,7700,8200,8600,8600,8600
SSE,sse_prompt_cache_ratio_x1000,119,0,820,745.2522542097561,0,939.3218726642658,0.0,0.39902479411437286,0.0,820,860,880,890,920,930,940,940,940,940,940
SSE,sse_time_to_done,119,0,0.11945900041610003,4.576620848080488,0.11945900041610003,130.73520798934624,0.0,0.39902479411437286,0.0,0,1,1,1,14,16,43,55,130,130,130
SSE,sse_time_to_first_event,119,0,0.01683298614807427,0.04944857112092882,0.01683298614807427,0.1562089892104268,0.0,0.39902479411437286,0.0,0,0,0,0,0,0,0,0,0,0,0
,Aggregated,559,0,150,1162.413688743771,0,8572.532207996119,379.92486583184257,1.8744105874784405,0.0,150,750,890,2700,4600,5400,6100,6900,8600,8600,8600
