Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /saved/recipes,48,0,140,169.13541745877106,124.21379200532101,561.8785830156412,3415.7916666666665,0.2684833369603357,0.0,140,140,180,180,210,450,560,560,560,560,560
GET,GET /session/{id},72,0,130,160.86834606742033,129.1966249991674,503.37433398817666,132.0,0.4027250054405036,0.0,130,140,170,180,190,330,460,500,500,500,500
POST,POST /saved/recipes,22,0,140,172.4840815017656,126.01483301841654,636.3115840067621,466.0,0.1230548627734872,0.0,140,150,180,180,190,230,640,640,640,640,640
POST,POST /session,10,0,340,380.4762626008596,288.3325419970788,769.3302919797134,96.0,0.05593402853340328,0.0,360,370,380,390,770,770,770,770,770,770,770
POST,POST /session/{id}/chat,121,0,4600,4692.890765487932,1236.1333750013728,10513.099457981298,0.0,0.6768017452541797,0.0,4600,5000,5300,5400,6100,6800,8400,10000,11000,11000,11000
SSE,sse_prompt_cache_ratio_x1000,121,0,810,774.9841113815692,152.2148449113071,923.3105542900531,0.0,0.6768017452541797,0.0,810,850,860,870,890,900,910,910,920,920,920
SSE,sse_time_to_done,121,0,1,7.757680446836974,0.10633299825713038,47.66412501339801,0.0,0.6768017452541797,0.0,1,10,13,14,16,45,47,47,48,48,48
SSE,sse_time_to_first_event,121,0,0.008749979315325618,0.048058546217512495,0.008749979315325618,0.17337501049041748,0.0,0.6768017452541797,0.0,0,0,0,0,0,0,0,0,0,0,0
,Aggregated,636,0,140,1084.6820564359934,0.008749979315325618,10513.099457981298,290.3679245283019,3.5574042147244485,0.0,140,720,850,900,4500,5300,6100,6800,11000,11000,11000
